Data,Semana,Ativo,CV,Marcador,ValorUnitario,Quantia,ValorNegociado,PatrimonioTotal,Mail
2024-09-17 08:37:02.477724,38,BTC,compra,2,59138.29,0.00183,108.4,325.61,0
2024-09-17 08:45:06.736647,38,BTC,compra,1,59083.35,0.00183,108.48,325.45,0
2024-09-17 09:00:13.145219,38,BTC,compra,1,59133.38,0.00183,108.5,325.51,0
2024-09-18 02:31:34.030197,38,BTC,venda,1,60348.4,0.00183,110.71,332.14,0
2024-09-18 03:16:48.233901,38,BTC,compra,1,60325.5,0.00183,110.64,331.93,0
2024-09-23 01:30:03.047225,39,BTC,venda,1,64003.18,0.00183,117.33,352.0,1
2024-09-23 08:45:06.278913,39,BTC,compra,1,63525.71,0.00183,116.66,349.99,0
2024-09-24 07:00:03.837365,39,BTC,venda,1,63518.03,0.00183,116.61,349.83,0
2024-09-24 07:30:02.776261,39,BTC,compra,1,63656.51,0.00183,116.74,350.23,0
2024-09-24 21:00:02.928811,39,BTC,venda,1,64282.23,0.00183,117.83,353.5,0
2024-09-24 21:15:03.201449,39,BTC,venda,1,64252.23,0.00183,117.75,353.25,0
2024-09-24 22:30:03.736784,39,BTC,compra,1,64369.3,0.00182,117.75,353.25,0
2024-09-24 22:45:02.656412,39,BTC,compra,1,64707.54,0.00182,118.11,354.33,0
2024-09-26 10:45:02.265315,39,BTC,venda,1,64273.49,0.00182,117.34,352.02,0
2024-09-26 11:00:03.430738,39,BTC,compra,1,64366.26,0.00182,117.45,352.36,0
2024-09-29 12:00:02.891987,39,BTC,venda,1,65678.12,0.00182,119.76,359.29,0
2024-09-29 12:15:02.188717,39,BTC,venda,1,65641.24,0.00182,119.69,359.06,0
2024-09-29 13:00:02.356964,39,BTC,compra,1,65757.89,0.00182,119.75,359.26,0
2024-09-29 13:15:02.529428,39,BTC,compra,1,65742.39,0.00182,119.7,359.09,0
2024-09-29 18:00:03.450272,39,BTC,venda,1,65816.11,0.00182,119.79,359.36,0
2024-09-29 19:00:02.827897,39,BTC,compra,1,65838.75,0.00181,119.77,359.32,1
2024-10-01 02:45:02.930960,40,BTC,venda,1,63689.84,0.00181,115.82,347.45,0
2024-10-01 03:00:02.507985,40,BTC,venda,1,63725.93,0.00181,115.83,347.48,0
2024-10-02 04:45:03.813259,40,BTC,venda,1,61467.97,0.00182,114.43,343.3,0
2024-10-06 16:15:02.133023,40,BTC,compra,2,62785.48,0.00648,407.14,1221.75,0
2024-10-06 22:45:02.202684,40,BTC,compra,1,62578.43,0.00649,406.62,1219.85,0
2024-10-06 23:45:01.993122,40,BTC,compra,1,62869.19,0.00648,407.73,1223.19,1
2024-10-07 00:30:07.391161,41,BTC,venda,1,62778.99,0.00647,406.92,1220.75,0
2024-10-07 00:45:01.911477,41,BTC,venda,1,63300.61,0.00646,409.04,1227.11,0
2024-10-07 01:15:01.890193,41,BTC,compra,1,63931.39,0.00641,410.32,1230.96,0
2024-10-07 12:00:05.614058,41,BTC,compra,1,62972.18,0.00643,405.52,1218.44,0
2024-10-07 15:30:02.272278,41,BTC,venda,1,63709.61,0.00644,410.63,1231.88,0
2024-10-07 15:45:02.493481,41,BTC,venda,1,63735.32,0.00644,410.72,1232.16,0
2024-10-07 16:00:02.562421,41,BTC,venda,1,63640.77,0.00644,410.29,1230.87,0
2024-10-07 16:45:02.212340,41,BTC,compra,2,63807.02,0.00642,410.12,1230.53,0
2024-10-07 18:00:02.124235,41,BTC,compra,1,63772.75,0.00642,410.02,1230.07,0
2024-10-07 18:15:02.255632,41,BTC,compra,1,63535.48,0.00643,408.77,1226.31,0
2024-10-08 10:45:02.713396,41,BTC,venda,1,62449.33,0.00643,401.73,1205.19,0
2024-10-08 12:00:02.448407,41,BTC,compra,1,62636.01,0.00642,402.43,1207.3,0
2024-10-09 02:45:02.222043,41,BTC,venda,1,62332.43,0.00642,400.37,1201.1,0
2024-10-09 03:00:02.166767,41,BTC,compra,1,62277.79,0.00642,400.0,1199.99,0
2024-10-10 04:30:02.227348,41,BTC,venda,1,60904.37,0.00642,391.09,1173.26,0
2024-10-10 08:00:01.989061,41,BTC,venda,1,60925.83,0.00641,391.11,1173.32,0
2024-10-11 15:00:02.897784,41,BTC,venda,1,61785.19,0.00635,392.75,1178.26,0
2024-10-11 18:45:02.075555,41,BTC,compra,2,62874.34,0.00624,391.53,1177.79,0
2024-10-11 19:00:02.072603,41,BTC,compra,2,62901.73,0.00623,392.51,1177.52,0
2024-10-11 21:00:02.788095,41,BTC,compra,2,63009.44,0.00619,390.14,1178.27,0
2024-10-11 22:15:02.103077,41,BTC,venda,2,62773.33,0.00623,391.19,1173.57,0
2024-10-12 00:15:02.127001,41,BTC,compra,2,62664.67,0.00623,390.59,1171.76,0
2024-10-12 09:15:02.506649,41,BTC,venda,2,62701.5,0.00622,390.55,1171.66,0
2024-10-12 09:30:02.229367,41,BTC,venda,2,62739.16,0.00622,390.53,1171.6,0
2024-10-12 10:15:01.988590,41,BTC,compra,2,62913.16,0.00621,390.76,1172.28,0
2024-10-12 11:30:01.982669,41,BTC,compra,2,63160.37,0.00614,388.37,1174.69,0
2024-10-13 20:45:02.359535,41,BTC,venda,2,62639.0,0.00619,388.24,1164.72,0
2024-10-13 21:45:01.999047,41,BTC,compra,2,62909.81,0.00616,387.92,1167.6,1
